Provincia,Concesin,Id_Concesin,Puntos_de_Venta,Id_Punto_de_Venta,Vol_historico
A CORUNA,Novomovil,100304.0,Novomovil (Ppal),100304.0,855.0
ALAVA,Burgocar Cial.del Automov.,100190.0,Burgocar Cial.del Automov.(Vitoria),102190.0,345.0
ALBACETE,Albamocion,100764.0,Albamocion (Albacete),101764.0,525.0
ALICANTE,Movil Begar,100468.0,Movil Begar (Ppal),100468.0,864.0
ALMERIA,Automotor Costa,100813.0,Automotor Costa,100813.0,872.0
ASTURIAS,Autosa Oviedo,100155.0,Autosa Oviedo,100155.0,922.0
AVILA,Avilcar,100307.0,Avilcar (Avila),101307.0,173.0
BADAJOZ,Ceres Motor,100380.0,Ceres Motor (Ppal),100380.0,501.0
BARCELONA,Barcelona Premium,100572.0,Barcelona Premium (Entenca),103572.0,2817.0
BURGOS,Burgocar Cial.del Automov.,100190.0,Burgocar Cial.del Automov.,100190.0,317.0
CACERES,Ceres Motor,100380.0,Ceres Motor (Caceres),102380.0,232.0
CADIZ,Movitransa,100881.0,Principal (Jerez),52622.0,742.0
CANTABRIA,Grunblau Motor,100015.0,Grunblau Motor,100015.0,696.0
CASTELLON,Maberauto,100394.0,Maberauto,100394.0,775.0
CEUTA,Borras Motor,100820.0,Borras Motor,100820.0,68.0
CIUDAD REAL,Albamocion,100764.0,Albamocion (Ppal),100764.0,359.0
CORDOBA,San Rafael,100422.0,San Rafael,100422.0,657.0
CUENCA,Punto Cuenca,3.0,Punto Cuenca,3.0,110.0
GIRONA,Oliva Motor Girona,100817.0,Oliva Motor Girona (Ppal),100817.0,735.0
GRANADA,Ilbira Motor,100589.0,Ilbira Motor,100589.0,910.0
GUADALAJARA,Auto Premier,100349.0,Auto Premier (Alcala),102349.0,257.0
GUIPUZCOA,Lurauto,100421.0,Lurauto,100421.0,409.0
HUELVA,Movitransa,100881.0,Movitransa Huelva,52629.0,452.0
HUESCA,Cabrero Motosport,100585.0,Cabrero Motosport,100585.0,281.0
ISLAS BALEARES,Proa Premium,100734.0,Proa Premium,100734.0,1634.0
JAEN,Motri Motor,100819.0,Motri Motor,100819.0,445.0
LA RIOJA,Autoberon,100597.0,Autoberon,100597.0,308.0
LAS PALMAS,Marmotor,100738.0,Marmotor,100738.0,1474.0
LEON,Bernesga Motor,100739.0,Bernesga Motor,100739.0,489.0
LLEIDA,Unicars,100727.0,Unicars,100727.0,792.0
LUGO,Lugauto,100146.0,Lugauto,100146.0,349.0
MADRID,Bymycar Madrid,100873.0,Bymycar Madrid,100873.0,24972.0
MALAGA,Automotor,100586.0,Automotor (Ppal),100586.0,2178.0
MELILLA,Punto Melilla,2.0,Punto Melilla,2.0,23.0
MURCIA,Murcia Premium,100393.0,Murcia Premium (Exposicion),103393.0,1198.0
NAVARRA,Lurauto,100421.0,Lurauto (Navarra),104421.0,462.0
OURENSE,Autogal,100120.0,Autogal,100120.0,418.0
PALENCIA,Avilcar,100307.0,Avilcar (Palencia),102307.0,246.0
PONTEVEDRA,Celtamotor,100410.0,Celtamotor (Ppal),100410.0,623.0
SALAMANCA,Tormes Motor,100571.0,Tormes Motor,100571.0,312.0
SANTA CRUZ DE TENERIFE,Canaauto,100389.0,Canaauto (Ppal),100389.0,1184.0
SEGOVIA,Avilcar,100307.0,Avilcar (Ppal),100307.0,135.0
SEVILLA,San Pablo Motor,100344.0,San Pablo Motor (Ppal),100344.0,918.0
SORIA,Punto Soria,1.0,Punto Soria,1.0,53.0
TARRAGONA,Oliva Motor,100728.0,Oliva Motor,100728.0,1160.0
TERUEL,T. Martin Lizaga,100765.0,T. Martin Lizaga,41991.0,191.0
TOLEDO,Adler Motor,100730.0,Adler Motor,100730.0,608.0
VALENCIA,Engasa,100311.0,Engasa,100311.0,948.0
VALLADOLID,Fuenteolid,100418.0,Fuenteolid,100418.0,668.0
VIZCAYA,Enekuri Motor,100726.0,Enekuri Motor,100726.0,961.0
ZAMORA,Autoramgar,100454.0,Autoramgar,100454.0,206.0
ZARAGOZA,Augusta Aragon,100348.0,Augusta Aragon,100348.0,990.0
