yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202605,INFO,KM0_FALLBACK,CITROEN,Corporate,b00d_private_moved_to_corporate,118,100,pool_b00d_private=1466; rate=0.0802
202605,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,166,100,pool_b00d_private=2897; rate=0.0573
202605,WARN,NEW_BRAND,DEEPAL,,monthly_count,441,250,Marca con volumen relevante no vista en outputs historicos previos
202605,WARN,CHANNEL_DRIFT,AUDI,RAC,count_vs_same_month_history,320,+/-250 and +/-25%,"actual=1443; media_mismo_mes=1122.7; historico=1198,1046,1124; rel=+28.5%"
202605,WARN,CHANNEL_DRIFT,BMW,RAC,count_vs_same_month_history,346,+/-250 and +/-25%,"actual=1158; media_mismo_mes=812.0; historico=1314,327,795; rel=+42.6%"
202605,CRITICAL,CHANNEL_DRIFT,BYD,Corporate,count_vs_same_month_history,615,+/-250 and +/-25%,"actual=800; media_mismo_mes=184.7; historico=493,11,50; rel=+333.2%"
202605,CRITICAL,CHANNEL_DRIFT,BYD,Private,count_vs_same_month_history,2157,+/-250 and +/-25%,"actual=2650; media_mismo_mes=493.0; historico=1311,17,151; rel=+437.5%"
202605,WARN,CHANNEL_DRIFT,CITROEN,Private,count_vs_same_month_history,332,+/-250 and +/-25%,"actual=1449; media_mismo_mes=1117.0; historico=1318,890,1143; rel=+29.7%"
202605,CRITICAL,CHANNEL_DRIFT,CITROEN,RAC,count_vs_same_month_history,-1349,+/-250 and +/-25%,"actual=890; media_mismo_mes=2238.7; historico=2201,1745,2770; rel=-60.2%"
202605,WARN,CHANNEL_DRIFT,FIAT,Corporate,count_vs_same_month_history,-314,+/-250 and +/-25%,"actual=681; media_mismo_mes=994.7; historico=554,1395,1035; rel=-31.5%"
202605,CRITICAL,CHANNEL_DRIFT,HYUNDAI,Corporate,count_vs_same_month_history,854,+/-250 and +/-25%,"actual=1992; media_mismo_mes=1137.7; historico=1255,1051,1107; rel=+75.1%"
202605,WARN,CHANNEL_DRIFT,HYUNDAI,Private,count_vs_same_month_history,-918,+/-250 and +/-25%,"actual=2279; media_mismo_mes=3197.0; historico=3329,3306,2956; rel=-28.7%"
202605,WARN,CHANNEL_DRIFT,HYUNDAI,RAC,count_vs_same_month_history,-793,+/-250 and +/-25%,"actual=1203; media_mismo_mes=1996.3; historico=2228,1403,2358; rel=-39.7%"
202605,CRITICAL,CHANNEL_DRIFT,LYNK & CO,RAC,count_vs_same_month_history,-328,+/-250 and +/-25%,"actual=0; media_mismo_mes=327.7; historico=7,932,44; rel=-100.0%"
202605,CRITICAL,CHANNEL_DRIFT,MAZDA,Corporate,count_vs_same_month_history,348,+/-250 and +/-25%,"actual=621; media_mismo_mes=272.7; historico=343,166,309; rel=+127.8%"
202605,CRITICAL,CHANNEL_DRIFT,MERCEDES-BENZ,RAC,count_vs_same_month_history,1054,+/-250 and +/-25%,"actual=2432; media_mismo_mes=1378.3; historico=2088,781,1266; rel=+76.4%"
202605,CRITICAL,CHANNEL_DRIFT,MG,RAC,count_vs_same_month_history,1163,+/-250 and +/-25%,"actual=2208; media_mismo_mes=1044.7; historico=1985,642,507; rel=+111.4%"
202605,CRITICAL,CHANNEL_DRIFT,NISSAN,RAC,count_vs_same_month_history,569,+/-250 and +/-25%,"actual=756; media_mismo_mes=187.3; historico=123,124,315; rel=+303.6%"
202605,CRITICAL,CHANNEL_DRIFT,OMODA,Private,count_vs_same_month_history,884,+/-250 and +/-25%,"actual=1543; media_mismo_mes=658.5; historico=676,641; rel=+134.3%"
202605,CRITICAL,CHANNEL_DRIFT,OMODA,RAC,count_vs_same_month_history,386,+/-250 and +/-25%,"actual=659; media_mismo_mes=272.5; historico=540,5; rel=+141.8%"
202605,WARN,CHANNEL_DRIFT,PEUGEOT,RAC,count_vs_same_month_history,-804,+/-250 and +/-25%,"actual=2177; media_mismo_mes=2981.0; historico=2931,2293,3719; rel=-27.0%"
202605,WARN,CHANNEL_DRIFT,RENAULT,RAC,count_vs_same_month_history,688,+/-250 and +/-25%,"actual=2434; media_mismo_mes=1746.0; historico=1731,1559,1948; rel=+39.4%"
202605,WARN,CHANNEL_DRIFT,SKODA,RAC,count_vs_same_month_history,384,+/-250 and +/-25%,"actual=1401; media_mismo_mes=1017.0; historico=1825,518,708; rel=+37.8%"
202605,CRITICAL,CHANNEL_DRIFT,SSANGYONG,RAC,count_vs_same_month_history,-390,+/-250 and +/-25%,"actual=0; media_mismo_mes=390.0; historico=2,778; rel=-100.0%"
202605,CRITICAL,CHANNEL_DRIFT,TESLA,Private,count_vs_same_month_history,604,+/-250 and +/-25%,"actual=1414; media_mismo_mes=810.0; historico=658,860,912; rel=+74.6%"
